id_bsran_Group	id_bsran	title_bsran	layer_bsran	objtype_bsran	objpixel_bsran	objgeo_bsran	pensymcolor_bsran	pensymsizepixel_bsran	pensymsizemeters_bsran	brushfill_bsran	brushcolor_bsran	alpha_bsran	uri_bsran	labelsize_bsran	labelcolor_bsran	objgeocenter_bsran
-1064471185_183	1064471185183			POINT	539.599898532276 651.679227028853	0.766435258090174 0.0715187378426066	-16777216	10	10	10	10					
-1064471185_184	1064471185184			POINT	527.757402875394 652.720826549174	0.749614723026438 0.0700703461146279	-16777216	10	10	10	10					
-1064471185_185	1064471185185			POINT	562.195897357157 651.836072431245	0.79852224412256 0.0712169286295336	-16777216	10	10	10	10					
-1064471185_186	1064471185186			POINT	576.955251730055 651.456886440553	0.819482610306612 0.0717083211359206	-16777216	10	10	10	10					
-1064471185_187	1064471185187			POINT	546.644742551711 614.84718952083	0.776565447449363 0.124148852832183	-16777216	10	10	10	10					
-1064471185_188	1064471185188			POINT	531.677958965736 615.044082669125	0.755311120301173 0.123918853948425	-16777216	10	10	10	10					
-1064471185_189	1064471185189			POINT	592.357055334774 587.392034234994	0.841573812067164 0.163240696163224	-16777216	10	10	10	10					
-1064471185_190	1064471185190			POINT	603.342309474487 588.157090738249	0.857170857488758 0.16210914378539	-16777216	10	10	10	10					
-1064471185_191	1064471185191			POINT	611.633234444662 594.121523021505	0.86892390623653 0.153554015045829	-16777216	10	10	10	10					
-1064471185_192	1064471185192			POINT	613.568056959977 605.030316806446	0.871633943169948 0.137952494070485	-16777216	10	10	10	10					
-1064471185_193	1064471185193			POINT	623.201319857852 610.253633382354	0.885295756160845 0.13045225195962	-16777216	10	10	10	10					
-1064471185_194	1064471185194			POINT	640.533043995594 609.791463259503	0.909909345209221 0.131053288713232	-16777216	10	10	10	10					
-1064471185_195	1064471185195			POINT	657.864767517402 609.329285534704	0.934522934257595 0.131654325466843	-16777216	10	10	10	10					
-1064471185_196	1064471185196			POINT	675.196490419292 608.867100129787	0.959136523305971 0.132255362220455	-16777216	10	10	10	10					
-1064471185_197	1064471185197			POINT	692.528212697276 608.404906966578	0.983750112354345 0.132856398974068	-16777216	10	10	10	10					
-1064471185_198	1064471185198			POINT	655.307130702616 622.413421868487	0.930845998227207 0.112958579394027	-16777216	10	10	10	10					
-1064471185_199	1064471185199			POINT	656.290560547461 634.429970822295	0.932201296090689 0.0957768245641513	-16777216	10	10	10	10					
-1064471185_200	1064471185200			POINT	657.273951940016 646.446522839628	0.93355659395417 0.0785950697342757	-16777216	10	10	10	10					
-1064471185_201	1064471185201			POINT	643.659066207207 645.650944053238	0.914225452579173 0.0797791800359057	-16777216	10	10	10	10					
-1064471185_202	1064471185202			POINT	630.044180813193 644.855366126308	0.894894311204177 0.0809632903375345	-16777216	10	10	10	10					
-1064471185_203	1064471185203			POINT	672.965553507204 644.449164575445	0.955846346914366 0.0813964853075382	-16777216	10	10	10	10					
-1064471185_204	1064471185204			POINT	687.822114392798 644.484640331547	0.976943336426801 0.0812947104796089	-16777216	10	10	10	10					
-1064471185_205	1064471185205			POINT	618.1788323144 585.9184558121	0.878247264772294 0.165258295801927	-16777216	10	10	10	10					
-1064471185_206	1064471185206			POINT	626.732811274135 576.599541392086	0.890426518251899 0.178550805794602	-16777216	10	10	10	10					
